function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
deregister_tm_clones,0x2427,"lea 0x2d3a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
deregister_tm_clones,0x242e,"cmp %rdi,%rax","rdi,rax",-,No,No,No,-,none,OK,none
deregister_tm_clones,0x2431,je 2448 <deregister_tm_clones+0x28>,-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x2433,"mov 0x2b46(%rip),%rax",-,rax,No,No,No,-,none,OK,none
deregister_tm_clones,0x243a,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x243d,je 2448 <deregister_tm_clones+0x28>,-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x243f,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x2433; indirect jump reg_based target rax L2: terminal (param) at deregister_tm_clones
deregister_tm_clones,0x2441,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x2448,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
deregister_tm_clones,0x2449,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
register_tm_clones,0x2450,"lea 0x2d11(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
register_tm_clones,0x2457,"lea 0x2d0a(%rip),%rsi",-,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x245e,"sub %rdi,%rsi","rdi,rsi",rsi,No,No,No,-,none,OK,none
register_tm_clones,0x2461,"mov %rsi,%rax",rsi,rax,No,No,No,-,none,OK,none
register_tm_clones,0x2464,"shr $0x3f,%rsi",rsi,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x2468,"sar $0x3,%rax",rax,rax,No,No,No,-,none,OK,none
register_tm_clones,0x246c,"add %rax,%rsi","rax,rsi",rsi,No,No,No,-,none,OK,none
register_tm_clones,0x246f,"sar $1,%rsi",rsi,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x2472,je 2488 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x2474,"mov 0x2b55(%rip),%rax",-,rax,No,No,No,-,none,OK,none
register_tm_clones,0x247b,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
register_tm_clones,0x247e,je 2488 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
