jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x2945,call,2,call *%rax,ff d0,间接调用,test13_lea_target,0x28ee,,,
0x2955,je,2,je 295c <test13_lea_target+0x6e>,74 05,条件跳转,test13_lea_target,0x28ee,,,
0x2957,call,5,call 2290 <__stack_chk_fail@plt>,e8 34 f9 ff ff,函数调用,test13_lea_target,0x28ee,,,
0x295d,ret,1,ret,c3,函数返回,test13_lea_target,0x28ee,,,
0x2970,call,5,call 2260 <puts@plt>,e8 eb f8 ff ff,函数调用,ret_chain_deep,0x295e,,,
0x2977,ret,1,ret,c3,函数返回,ret_chain_deep,0x295e,,,
0x298a,call,5,call 2260 <puts@plt>,e8 d1 f8 ff ff,函数调用,ret_chain_mid,0x2978,,,
0x298f,call,5,call 2300 <ret_chain_deep@plt>,e8 6c f9 ff ff,函数调用,ret_chain_mid,0x2978,,,
0x2996,ret,1,ret,c3,函数返回,ret_chain_mid,0x2978,,,
0x29a9,call,5,call 2260 <puts@plt>,e8 b2 f8 ff ff,函数调用,test14_ret_chain,0x2997,,,
0x29ae,call,5,call 22d0 <ret_chain_mid@plt>,e8 1d f9 ff ff,函数调用,test14_ret_chain,0x2997,,,
0x29b5,ret,1,ret,c3,函数返回,test14_ret_chain,0x2997,,,
0x29cc,call,5,call 2260 <puts@plt>,e8 8f f8 ff ff,函数调用,test15_double_ptr,0x29b6,,,
0x29eb,call,2,call *%rax,ff d0,间接调用,test15_double_ptr,0x29b6,,,
0x29ef,ret,1,ret,c3,函数返回,test15_double_ptr,0x29b6,,,
0x2a69,je,2,je 2a70 <get_target+0x80>,74 05,条件跳转,get_target,0x29f0,,,
0x2a6b,call,5,call 2290 <__stack_chk_fail@plt>,e8 20 f8 ff ff,函数调用,get_target,0x29f0,,,
0x2a71,ret,1,ret,c3,函数返回,get_target,0x29f0,,,
0x2a88,call,5,call 2260 <puts@plt>,e8 d3 f7 ff ff,函数调用,test16_returned_fptr,0x2a72,,,
0x2a92,call,5,call 29f0 <get_target>,e8 59 ff ff ff,函数调用,test16_returned_fptr,0x2a72,,,
0x2a9f,call,2,call *%rax,ff d0,间接调用,test16_returned_fptr,0x2a72,,,
0x2aa3,ret,1,ret,c3,函数返回,test16_returned_fptr,0x2a72,,,
0x2ac9,call,5,call 2260 <puts@plt>,e8 92 f7 ff ff,函数调用,test17_nested_struct,0x2aa4,,,
0x2ae4,call,2,call *%rax,ff d0,间接调用,test17_nested_struct,0x2aa4,,,
0x2af4,je,2,je 2afb <test17_nested_struct+0x57>,74 05,条件跳转,test17_nested_struct,0x2aa4,,,
0x2af6,call,5,call 2290 <__stack_chk_fail@plt>,e8 95 f7 ff ff,函数调用,test17_nested_struct,0x2aa4,,,
0x2afc,ret,1,ret,c3,函数返回,test17_nested_struct,0x2aa4,,,
0x2b15,ret,1,ret,c3,函数返回,a1_setup,0x2afd,,,
0x2b2c,call,5,call 2260 <puts@plt>,e8 2f f7 ff ff,函数调用,attack_a1_global_hijack,0x2b16,,,
0x2b31,call,5,call 2afd <a1_setup>,e8 c7 ff ff ff,函数调用,attack_a1_global_hijack,0x2b16,,,
0x2b4a,jne,2,jne 2b57 <attack_a1_global_hijack+0x41>,75 0b,条件跳转,attack_a1_global_hijack,0x2b16,,,
0x2b5b,call,2,call *%rax,ff d0,间接调用,attack_a1_global_hijack,0x2b16,,,
0x2b5f,ret,1,ret,c3,函数返回,attack_a1_global_hijack,0x2b16,,,
0x2b85,call,5,call 2260 <puts@plt>,e8 d6 f6 ff ff,函数调用,attack_a2_double_ptr,0x2b60,,,
0x2ba6,jne,2,jne 2bb3 <attack_a2_double_ptr+0x53>,75 0b,条件跳转,attack_a2_double_ptr,0x2b60,,,
0x2bc2,call,2,call *%rax,ff d0,间接调用,attack_a2_double_ptr,0x2b60,,,
0x2bd2,je,2,je 2bd9 <attack_a2_double_ptr+0x79>,74 05,条件跳转,attack_a2_double_ptr,0x2b60,,,
0x2bd4,call,5,call 2290 <__stack_chk_fail@plt>,e8 b7 f6 ff ff,函数调用,attack_a2_double_ptr,0x2b60,,,
0x2bda,ret,1,ret,c3,函数返回,attack_a2_double_ptr,0x2b60,,,
0x2bf1,call,5,call 2260 <puts@plt>,e8 6a f6 ff ff,函数调用,attack_a3_branch,0x2bdb,,,
0x2c04,jne,2,jne 2c13 <attack_a3_branch+0x38>,75 0d,条件跳转,attack_a3_branch,0x2bdb,,,
0x2c11,jmp,2,jmp 2c1e <attack_a3_branch+0x43>,eb 0b,无条件跳转,attack_a3_branch,0x2bdb,,,
0x2c22,call,2,call *%rax,ff d0,间接调用,attack_a3_branch,0x2bdb,,,
0x2c26,ret,1,ret,c3,函数返回,attack_a3_branch,0x2bdb,,,
0x2c3d,call,5,call 2260 <puts@plt>,e8 1e f6 ff ff,函数调用,attack_a4_struct_replace,0x2c27,,,
0x2c5d,jne,2,jne 2c6a <attack_a4_struct_replace+0x43>,75 0b,条件跳转,attack_a4_struct_replace,0x2c27,,,
