function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_ff_instructions,0x1257,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x125b,"mov $0x3e7,%edi",-,rdi,No,No,No,-,none,OK,none
test_ff_instructions,0x1260,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1257; indirect call reg_based target rax L2: defined at 0x1257; indirect call reg_based target rax L3: defined at 0x1257
test_ff_instructions,0x1262,nop,-,-,No,No,No,-,none,OK,none
test_ff_instructions,0x1263,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_ff_instructions,0x1264,ret,rax,-,No,No,Yes,-,none,OK,none
test_all,0x1265,endbr64,-,-,No,No,No,-,none,OK,none
test_all,0x1269,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_all,0x126a,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_all,0x126d,call 1070 <test_returns@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x1272,call 10d0 <test_indirect_call@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x1277,"mov $0x0,%edi",-,rdi,No,No,No,-,none,OK,none
test_all,0x127c,call 1080 <test_indirect_jump@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x1281,call 10c0 <test_ff_instructions@plt>,-,rax,No,No,No,-,none,OK,none
test_all,0x1286,nop,-,-,No,No,No,-,none,OK,none
test_all,0x1287,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_all,0x1288,ret,rax,-,No,No,Yes,-,none,OK,none
_fini,0x128c,endbr64,-,-,No,No,No,-,none,OK,none
_fini,0x1290,"sub $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_fini,0x1294,"add $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_fini,0x1298,ret,rax,-,No,No,Yes,-,none,OK,none
