function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_target_d,0x140c,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_target_d,0x140f,"lea 0xc1d(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_target_d,0x1416,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_target_d,0x1419,call 11b0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_target_d,0x141e,nop,-,-,No,No,No,-,none,OK,none
test_target_d,0x141f,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_target_d,0x1420,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test_target_ret_int,0x1421,endbr64,-,-,No,No,No,-,none,OK,none
test_target_ret_int,0x1425,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_target_ret_int,0x1426,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_target_ret_int,0x1429,"mov %edi,-0x4(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
test_target_ret_int,0x142c,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_target_ret_int,0x142f,"add %eax,%eax",rax,rax,No,No,No,-,none,OK,none
test_target_ret_int,0x1431,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test_target_ret_int,0x1432,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test_target_arg,0x1433,endbr64,-,-,No,No,No,-,none,OK,none
test_target_arg,0x1437,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_target_arg,0x1438,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_target_arg,0x143b,"sub $0x10,%rsp",rsp,rsp,No,No,No,-,none,OK,none
test_target_arg,0x143f,"mov %edi,-0x4(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
test_target_arg,0x1442,"mov %esi,-0x8(%rbp)","rsi,rbp",-,No,No,No,-,none,OK,none
