function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_indirect_jump,0x1221,"sub $0x20,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
test_indirect_jump,0x1225,"mov %edi,-0x14(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
test_indirect_jump,0x1228,"mov -0x14(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x122b,"mov %eax,%esi",rax,rsi,No,No,No,-,none,OK,none
test_indirect_jump,0x122d,"lea 0xe10(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1234,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_indirect_jump,0x1237,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x123c,call 10d0 <printf@plt>,-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1241,"mov 0x2d80(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1248,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
test_indirect_jump,0x124c,"cmpl $0x0,-0x14(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_indirect_jump,0x1250,jne 125d <test_indirect_jump+0x44>,eflags,-,No,No,No,-,none,OK,none
test_indirect_jump,0x1252,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
test_indirect_jump,0x1256,"mov $0x1,%edi",-,rdi,No,No,No,-,none,OK,none
test_indirect_jump,0x125b,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1252; indirect call reg_based target rax L2: defined at 0x1252; indirect call reg_based target rax L3: defined at 0x1252
test_indirect_jump,0x125d,nop,-,-,No,No,No,-,none,OK,none
test_indirect_jump,0x125e,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_indirect_jump,0x125f,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,"ret target rsp L1: defined at 0x125e (leave); ret target rbp L2: defined at 0x121e (mov %rsp,%rbp); ret target rsp L3: defined at 0x121d (push %rbp)"
test_ff_instructions,0x1260,endbr64,-,-,No,No,No,-,none,OK,none
test_ff_instructions,0x1264,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test_ff_instructions,0x1265,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_ff_instructions,0x1268,"sub $0x10,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
test_ff_instructions,0x126c,"lea 0xde8(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x1273,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_ff_instructions,0x1276,call 10c0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x127b,"mov 0x2d3e(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x1282,"mov %rax,-0x10(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
test_ff_instructions,0x1286,"mov -0x10(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x128a,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1286; indirect call reg_based target rax L2: defined at 0x1286; indirect call reg_based target rax L3: defined at 0x1286
test_ff_instructions,0x128c,"mov 0x2d35(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x1293,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
test_ff_instructions,0x1297,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
test_ff_instructions,0x129b,"mov $0x3e7,%edi",-,rdi,No,No,No,-,none,OK,none
test_ff_instructions,0x12a0,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1297; indirect call reg_based target rax L2: defined at 0x1297; indirect call reg_based target rax L3: defined at 0x1297
test_ff_instructions,0x12a2,nop,-,-,No,No,No,-,none,OK,none
test_ff_instructions,0x12a3,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_ff_instructions,0x12a4,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,"ret target rsp L1: defined at 0x12a3 (leave); ret target rbp L2: defined at 0x1265 (mov %rsp,%rbp); ret target rsp L3: defined at 0x1264 (push %rbp)"
test_ifelse,0x12a5,endbr64,-,-,No,No,No,-,none,OK,none
test_ifelse,0x12a9,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
